股票代號,股票名稱,持股權重,股數,收盤價,收盤價
2330,台積電,9.88%,1600000,1300.0,1300.0
2345,智邦,5.81%,1244000,984.0,984.0
3665,貿聯-KY,5.65%,1207848,984.0,984.0
2383,台光電,5.38%,925000,1225.0,1225.0
3017,奇鋐,4.84%,1083000,941.0,941.0
6669,緯穎,4.38%,302000,3050.0,3050.0
6223,旺矽,4.20%,533000,1660.0,1660.0
2317,鴻海,4.06%,3896000,219.5,219.5
2368,金像電,3.97%,2028000,412.5,412.5
2449,京元電子,3.88%,5259000,155.5,155.5
2308,台達電,3.68%,914000,848.0,848.0
2357,華碩,3.36%,1042000,678.0,678.0
3653,健策,3.25%,312000,2195.0,2195.0
3661,世芯-KY,3.16%,203000,3275.0,3275.0
6274,台燿,2.72%,1921000,298.0,298.0
8210,勤誠,2.28%,832000,577.0,577.0
6805,富世達,2.23%,486000,967.0,967.0
2059,川湖,1.97%,134000,3100.0,3100.0
3533,嘉澤,1.73%,240000,1520.0,1520.0
4966,譜瑞-KY,1.37%,386000,749.0,749.0
2884,玉山金,1.26%,8091010,32.9,32.9
3376,新日興,1.25%,1116000,236.5,236.5
3406,玉晶光,1.17%,585000,420.5,420.5
1303,南亞,1.14%,6080000,39.6,39.6
3583,辛耘,1.12%,626000,378.0,378.0
2354,鴻準,1.09%,3285000,70.1,70.1
6472,保瑞,0.99%,307000,680.0,680.0
3529,力旺,0.88%,91000,2035.0,2035.0
6191,精成科,0.83%,1512000,115.5,115.5
1560,中砂,0.80%,511000,328.0,328.0
3037,欣興,0.76%,1069000,149.0,149.0
5347,世界,0.72%,1498000,101.0,101.0
3711,日月光投控,0.68%,862000,165.5,165.5
2454,聯發科,0.65%,104000,1310.0,1310.0
3211,順達,0.46%,272000,354.0,354.0
3515,華擎,0.42%,332000,264.5,264.5
4770,上品,0.34%,241000,295.0,295.0
5274,信驊,0.26%,11000,4905.0,4905.0
8996,高力,0.26%,176000,311.0,311.0
2886,兆豐金,0.16%,818000,42.0,42.0
3008,大立光,0.02%,2000,2320.0,2320.0
3045,台灣大,0.02%,43000,107.0,107.0
3131,弘塑,0.01%,1000,1485.0,1485.0
6515,穎崴,0.01%,1000,2105.0,2105.0
2344,華邦電,0.00%,1000,31.4,31.4
2439,美律,0.00%,1000,100.5,100.5
3217,優群,0.00%,1000,169.0,169.0
3264,欣銓,0.00%,1000,84.9,84.9
4958,臻鼎-KY,0.00%,1000,165.0,165.0
6139,亞翔,0.00%,1000,349.0,349.0
