股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.97%,1894000,1460.0
3017,奇鋐,7.00%,1442000,1495.0
3665,貿聯-KY,6.93%,1329848,1605.0
6669,緯穎,6.21%,429000,4460.0
2308,台達電,6.03%,1939000,958.0
2368,金像電,5.80%,3150000,567.0
2383,台光電,5.45%,1222000,1375.0
2345,智邦,5.30%,1665000,980.0
2449,京元電子,3.50%,5007000,215.5
3653,健策,3.48%,433000,2475.0
2317,鴻海,3.46%,4226000,252.0
3661,世芯-KY,3.44%,301000,3525.0
8210,勤誠,3.35%,1021000,1010.0
6223,旺矽,3.34%,571000,1800.0
6274,台燿,3.30%,2533000,401.5
6805,富世達,2.95%,609000,1495.0
8299,群聯,2.55%,597000,1315.0
2059,川湖,2.54%,207000,3775.0
3231,緯創,1.85%,3954000,144.0
5274,信驊,1.15%,56000,6335.0
5536,聖暉*,1.10%,494000,683.0
3406,玉晶光,1.06%,734000,445.5
3533,嘉澤,0.99%,244000,1245.0
3515,華擎,0.92%,1000000,283.5
6191,精成科,0.92%,2323000,122.5
2354,鴻準,0.85%,3805000,68.7
4958,臻鼎-KY,0.81%,1655000,151.0
1560,中砂,0.52%,516000,308.0
3211,順達,0.42%,468000,278.0
3715,定穎投控,0.41%,967000,130.5
1303,南亞,0.31%,1803000,53.8
6139,亞翔,0.31%,227000,415.5
1319,東陽,0.18%,573000,97.5
8996,高力,0.11%,63000,555.0
3376,新日興,0.05%,76000,188.5
3008,大立光,0.01%,1000,2235.0
2327,國巨*,0.00%,1000,243.5
2344,華邦電,0.00%,1000,64.2
2357,華碩,0.00%,1000,633.0
2439,美律,0.00%,1000,113.0
2454,聯發科,0.00%,1000,1245.0
2884,玉山金,0.00%,1010,30.1
3037,欣興,0.00%,1000,178.5
3045,台灣大,0.00%,1000,108.5
3583,辛耘,0.00%,1000,324.5
3711,日月光投控,0.00%,1000,231.5
4770,上品,0.00%,1000,227.0
4966,譜瑞-KY,0.00%,1000,663.0
5347,世界,0.00%,1000,92.5
6472,保瑞,0.00%,1000,629.0
