[2026-04-22 20:14:19] 📅 2026/04/22 (三) 開始抓取新聞...

[2026-04-22 20:14:19] 📋 歷史紀錄：357 則已排除

[2026-04-22 20:14:19] 【來源一：Google News 關鍵字搜尋】
[2026-04-22 20:14:19]   [房市行情]
[2026-04-22 20:14:20]       ✗ URL重複：台灣高房價造成？1家3口已成過去式！專家揭「小宅夯」兩大主因
[2026-04-22 20:14:20]       ✗ 外國地名(東京)：東京房價漲、續創歷史新高；銷售戶數創歷史低-新聞內容-基金
[2026-04-22 20:14:20]       ✗ URL重複：鋼筋單價狂飆15%！　台中建商公會：房價漲不動也跌不下
[2026-04-22 20:14:20]       ✗ 字元重疊 67%：淡江大橋通車倒數！淡海新市鎮5年房價漲逾3成
[2026-04-22 20:14:20]       ✗ 外國地名(首爾)：總統喊破喉嚨也沒用！首爾房價年漲15.7% 越打越噴的真相曝
[2026-04-22 20:14:20]       ✗ 字元重疊 75%：淡江大橋吸人又吸金！為何八里房價漲幅比淡水高？
[2026-04-22 20:14:20]       ✗ 外國地名(東京)：東京房價漲、續創歷史新高；銷售戶數創歷史低- 新聞
[2026-04-22 20:14:20]       ✗ 字元重疊 52%：淡江大橋通車倒數！淡海房價5年漲3成 3字頭磁吸輕移民
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：大讓利時代 藍線一站房價打對折
[2026-04-22 20:14:20]       ✗ 字元重疊 61%：橋將通、人來了！淡海新市鎮5年房價漲33%
[2026-04-22 20:14:20]       ✗ 非白名單來源(大紀元新聞網 https://www.epochtimes.com)：加州新建住房持續增加 供應為何極度緊缺
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：「多殺多區域出現」！房價真跌 下修近一成？
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：內科發展最後拼圖啟動 內湖房價又要漲了？
[2026-04-22 20:14:20]       ✗ 字元重疊 64%：房價看漲比例收斂！國泰金調查揭「風向變了」 景氣、台股樂觀指
[2026-04-22 20:14:20]       ✗ URL重複：預售屋市場首季房價鬆動推案量下探歷史低點| 房產新訊
[2026-04-22 20:14:20]       ✗ 非白名單來源(CTWANT https://www.ctwant.com)：七都最新購屋門檻曝！　「這裡漲幅最高」晚5年得多掏240萬 
[2026-04-22 20:14:20]       ✗ URL重複：國泰金：房價看漲動能轉弱
[2026-04-22 20:14:20]       ✗ 非白名單來源(arch-web.com.tw https://www.arch-web.com.tw)：倫敦市中心房價一年內下跌 37,000 英鎊 – 但北部房產
[2026-04-22 20:14:20]       ✗ 字元重疊 50%：淡江大橋5/12通車！淡海房價5年漲3成　130公頃科學城最
[2026-04-22 20:14:20]       ✗ 非白名單來源(CMoney投資網誌 https://cmnews.com.tw)：【即時新聞】商辦暴跌40%！特斯拉(TSLA)馬斯克預言房市
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：建商不撐了！全台新案房價「跌回兩年前」、高雄降最大| 房產新
[2026-04-22 20:14:20]       ✗ 字元重疊 52%：全台新案房價跌回兩年前！「520檔期」是否復甦為關鍵
[2026-04-22 20:14:20]       ✗ URL重複：房價真的跌了！統計六都第一季成屋均價：台中跌最慘、台北市獨紅
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：台灣高房價造成？1家3口已成過去式！專家揭「小宅夯」兩大主因
[2026-04-22 20:14:20]       ✗ URL重複：戰爭推升通膨！打炒房難壓房價預期　53％民眾仍看漲逾3％
[2026-04-22 20:14:20]       ✗ 非白名單來源(AN不動產新聞網 https://annewsmedia.com)：全台房價下修近1成！建商「讓利」了嗎？3現象看懂房市軟著陸真
[2026-04-22 20:14:20]       ✗ 非白名單來源(MSN https://www.msn.com)：六都房價一漲五跌!台中跌8％ 淪重災區剩一縣市還獨自堅挺著
[2026-04-22 20:14:20]       ✗ URL重複：雙北高房價硬傷 脫北潮擋不住
[2026-04-22 20:14:20]       ✗ 非白名單來源(富聯網 https://ww2.money-link.com.tw)：地產：淡江大橋通車倒計時，淡海新市鎮房市持續升溫，五年房價漲
[2026-04-22 20:14:20]       ✗ 字元重疊 55%：房價還會漲嗎？　國泰金最新調查透露「關鍵訊號」
[2026-04-22 20:14:20]       ✗ URL重複：成屋買氣慘 五都房價全跌！僅剩這縣市逆勢小漲0.9%
[2026-04-22 20:14:20]       ✗ 字元重疊 100%：景氣展望和消費意願下滑 逾4成民眾認為未來半年房價漲3%
[2026-04-22 20:14:20]       ✗ 非白名單來源(CMoney投資網誌 https://cmnews.com.tw)：美國買房夢碎、建商照賺？D.R. Horton財報揭露「高房
[2026-04-22 20:14:20]       ✗ 字元重疊 50%：台中房價跌破30萬！六都行情揭曉：北市站穩8字頭　這區買家增
[2026-04-22 20:14:20]     房價: 抓到 44 則，新增 10 則
[2026-04-22 20:14:21]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：3月五大銀行房貸利率略降 央行：房市處盤整修正期
[2026-04-22 20:14:21]       ✗ 非白名單來源(商周 https://www.businessweekly.com.tw)：「買房必賺」時代結束？反思中國房市30年，揭開台灣房市最不安
[2026-04-22 20:14:21]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：央行緊縮對上建商撐價 房市下半年恐迎「破局轉折」
[2026-04-22 20:14:21]       ✗ 字元重疊 57%：房市陣痛期降臨！台中海線先爆多殺多　全台新建案開價跌回2年前
[2026-04-22 20:14:21]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：房市寒冬？五大銀行第1季新增房貸「3年最低」 央行：打房見效
[2026-04-22 20:14:21]       ✗ 非白名單來源(台視全球資訊網 https://www.ttv.com.tw)：小摩：陸房市現復甦跡象，料帶動股市跑贏新興市場
[2026-04-22 20:14:21]       ✗ 字元重疊 50%：淡江大橋通車倒數 淡水房市將補漲或利多出盡？
[2026-04-22 20:14:21]       ✗ 非白名單來源(民視新聞網 https://www.ftvnews.com.tw)：通車在即 淡水、八里房市迎來「慶祝行情」
[2026-04-22 20:14:21]       ✗ 非白名單來源(中天新聞網 https://ctinews.com)：買氣急凍、房貸破紀錄！房市三大警訊 225萬房貸族走鋼索
[2026-04-22 20:14:21]       ✗ 字元重疊 50%：房市寒冬建商哭了？2025年5家倒閉…網不買單狂酸：賣不掉加
[2026-04-22 20:14:21]       ✗ 非白名單來源(卡優新聞網 https://www.cardu.com.tw)：美伊戰火傷經濟信心 民眾看淡股市與房市
[2026-04-22 20:14:21]       ✗ 非白名單來源(東森新聞 https://news.ebc.net.tw)：新北第一環房市穩 三重新市政特區4優勢將成焦點
[2026-04-22 20:14:21]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：〈房產〉國泰房地產指數：首季全台房市去化遲緩 Q2觀察量能是
[2026-04-22 20:14:21]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：小摩看多中國！房市回暖＋AI紅利加持 股市有望超車新興市場
[2026-04-22 20:14:21]       ✗ 外國地名(大陸)：摩根大通：大陸房市近轉折點有助帶動陸股上漲| 陸港經貿| 兩
[2026-04-22 20:14:21]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：〈房產〉淡江大橋通車倒計時 淡海新市鎮房市持續升溫 5年房價
[2026-04-22 20:14:21]       ✗ 非白名單來源(翻爆 https://turnnewsapp.com)：大台南房市買盤板塊移動 「遠雄山禾」吸納南科菁英目光
[2026-04-22 20:14:21]       ✗ URL重複：北市房市回暖再等等！交易量跌18% 中正區量崩7成、南港成交
[2026-04-22 20:14:21]       ✗ 外國地名(首爾)：總統喊破喉嚨也沒用！首爾房價年漲15.7% 越打越噴的真相曝
[2026-04-22 20:14:21]       ✗ 非白名單來源(鏡週刊Mirror Media https://www.mirrormedia.mg)：房市交易情報／永慶房屋：30坪以下小宅當道！北市住宅交易超過
[2026-04-22 20:14:21]       ✗ 非白名單來源(太報 TaiSounds https://www.taisounds.com)：月增難敵年減！首季房貸金額創兩年最低央行：房市盤整格局未變|
[2026-04-22 20:14:21]       ✗ 外國地名(大陸)：大陸房市迎曙光！小摩：拐點將至「拉動股市向上」
[2026-04-22 20:14:21]       ✗ 字元重疊 100%：房市進入「去平庸化」 購買力縮減 建商如何面對挑戰？
[2026-04-22 20:14:21]       ✗ 字元重疊 58%：房市冷了照查不誤！台北市329檔期預售屋大稽查　9案有1案違
[2026-04-22 20:14:21]       ✗ 字元重疊 100%：區域重大利多發威 北屯生活圈正式升級 房市及消費版圖也牽動？
[2026-04-22 20:14:21]       ✗ 非白名單來源(MSN https://www.msn.com)：房市陣痛期降臨! 台中海線先爆多殺多 全台新建案開價跌回2 
[2026-04-22 20:14:21]       ✗ 字元重疊 78%：房市／信義房屋十年減碳近六成　碳標籤升級
[2026-04-22 20:14:21]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：〈房產〉房市急凍 首季七都推案量248件總銷金額2736億元
[2026-04-22 20:14:21]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：要等還是衝？ 全台新案開價「跌回兩年前」一表看房市新變化
[2026-04-22 20:14:21]       ✗ 字元重疊 60%：房市冷台灣金聯平價宅創佳績- 日報
[2026-04-22 20:14:21]       ✗ 非白名單來源(卡優新聞網 https://www.cardu.com.tw)：央行善意有望解凍房市 預售市場進入個案表現
[2026-04-22 20:14:21]       ✗ 字元重疊 54%：國建看2026房市 審慎樂觀
[2026-04-22 20:14:21]       ✗ URL重複：北市房市「真回溫」還是「假回溫」？最新數據快速掌握- 房市
[2026-04-22 20:14:21]       ✗ 非白名單來源(富聯網 https://ww2.money-link.com.tw)：地產：淡江大橋通車倒計時，淡海新市鎮房市持續升溫，五年房價漲
[2026-04-22 20:14:21]       ✗ 非白名單來源(住展雜誌 https://www.myhousing.com.tw)：央行緊縮對上建商撐價 房市下半年恐迎「破局轉折」
[2026-04-22 20:14:21]       ✗ 非白名單來源(CMoney投資網誌 https://cmnews.com.tw)：【即時新聞】商辦暴跌40%！特斯拉(TSLA)馬斯克預言房市
[2026-04-22 20:14:21]       ✗ 字元重疊 100%：建商不撐了！全台新案房價「跌回兩年前」、高雄降最大
[2026-04-22 20:14:21]       ✗ 非白名單來源(大紀元新聞網 https://www.epochtimes.com)：中國房市被指龐氏騙局 專家析中共運作黑幕
[2026-04-22 20:14:21]       ✗ URL重複：淡江大橋通車倒數計時、房市蓄勢待發　東森房屋：三大生活圈直接
[2026-04-22 20:14:21]       ✗ URL重複：新莊副都心重量級建設蓄勢待發　房市供不應求！純住建案搶手
[2026-04-22 20:14:21]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：預售屋交易探6年低點 央行鬆綁助房市醞釀「先蹲後跳」？
[2026-04-22 20:14:21]       ✗ 字元重疊 100%：國泰金：房價看漲動能轉弱
[2026-04-22 20:14:21]       ✗ 非白名單來源(AASTOCKS.com http://www.aastocks.com)：《內房》新華時評：內地房市回穩信號增強 正積蓄築底回暖勢能
[2026-04-22 20:14:21]       ✗ URL重複：新青安政策將到期卻未掀搶購潮 李同榮：五大結構因素讓房市轉入
[2026-04-22 20:14:21]       ✗ URL重複：房市／提前動支履保卻未過戶　代書警示：恐陷財貨兩失
[2026-04-22 20:14:21]       ✗ URL重複：央行鬆綁vs.建商讓利！李同榮揭「房市僵局」內幕：下半年是關
[2026-04-22 20:14:21]       ✗ URL重複：房市／信義開發前進樹林　攜手在地市集實踐社區共好
[2026-04-22 20:14:21]       ✗ 非白名單來源(鏡週刊Mirror Media https://www.mirrormedia.mg)：房市交易情報／想在台北市置產嗎？永慶房屋：逾5成總價超過2千
[2026-04-22 20:14:21]       ✗ 非白名單來源(中國時報- 翻爆 https://reader.turnnewsapp.com)：AA4 好宅房市通 - 20260422 - 中國時報 - 
[2026-04-22 20:14:21]     房市: 抓到 61 則，新增 12 則
[2026-04-22 20:14:22]       ✗ 字元重疊 54%：總價1500萬 在永和買預售屋只負擔得起套房 中古屋卻能買到
[2026-04-22 20:14:22]       ✗ URL重複：板橋中古屋買賣升溫！台日不動產顧問揭關鍵布局策略- 商情
[2026-04-22 20:14:22]       ✗ URL重複：中古屋依舊香？天龍國5年變化「這區」買氣跌最兇　她曝塞車是硬
[2026-04-22 20:14:22]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：六都買房年齡全面分化！台北人專挑40年老屋、新北卡在20年中
[2026-04-22 20:14:22]       ✗ URL重複：【開箱】台中三房中古屋翻修｜舊櫃全拆，牆面重新長出收納
[2026-04-22 20:14:22]       ✗ URL重複：央行善意有望解凍房市 預售市場進入個案表現
[2026-04-22 20:14:22]     中古屋: 抓到 7 則，新增 1 則
[2026-04-22 20:14:23]       ✗ URL重複：交屋潮效應漸明顯 台南重大建設區新成屋陸續完工 房價支撐性仍
[2026-04-22 20:14:23]       ✗ URL重複：待售新成屋飆11萬宅！房仲直言「建商開始隱形讓利」：保護面子
[2026-04-22 20:14:23]       ✗ 非白名單來源(MSN https://www.msn.com)：房市陣痛期降臨! 台中海線先爆多殺多 全台新建案開價跌回2 
[2026-04-22 20:14:23]       ✗ URL重複：高雄處處讓利降價 新成屋年跌4%預售屋指標案撐盤逆勢上漲
[2026-04-22 20:14:23]       ✗ URL重複：20坪新成屋的三房兩廳裝潢提案!簡約奶油色X白色石紋，打造屬
[2026-04-22 20:14:23]       ✗ URL重複：寬敞玄關展現大宅氣度!75坪輕奢風新成屋，以高端訂製陪你打造
[2026-04-22 20:14:23]     新成屋: 抓到 7 則，新增 1 則
[2026-04-22 20:14:24]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：1500萬購屋預算怎麼選？新北成屋空間更大 | 民視新聞網
[2026-04-22 20:14:24]       ✗ 標題完全相同：1,500萬元預算想買預售屋？永慶房屋：先從淡水區找起
[2026-04-22 20:14:24]       ✗ 標題完全相同：1,500萬元預算想買預售屋？ 永慶房屋：先從淡水區找起
[2026-04-22 20:14:24]       ✗ 字元重疊 54%：總價1500萬 在永和買預售屋只負擔得起套房 中古屋卻能買到
[2026-04-22 20:14:24]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：淡水成首購天堂！1500萬買預售大3房 新北核心區平價新房消
[2026-04-22 20:14:24]       ✗ URL重複：欠6年管理費不繳！3大抗辯全破功 所有權人判賠202萬
[2026-04-22 20:14:24]       ✗ 字元重疊 100%：台中人不買大坪數了？15坪小宅交易「只輸北市」 專家揭現實面
[2026-04-22 20:14:24]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：鄰居家花10萬，我家要花30萬？!為什麼防水工程的價差這麼大
